2025-08-11 02:29:29 |     INFO | structformer_training | setup_logging:107 | ✅ Logging setup complete. Logs: logs/structformer_run/training.log
2025-08-11 02:40:01 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2025-08-11 02:40:01 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2025-08-11 02:40:01 |    DEBUG | git.util | is_cygwin_git:494 | sys.platform='linux', git_executable='git'
2025-08-11 02:40:01 |    DEBUG | git.cmd | execute:1270 | Popen(['git', 'cat-file', '--batch-check'], cwd=/home/ubuntu/babylm-poincare-structformer, stdin=<valid stream>, shell=False, universal_newlines=False)
2025-08-11 02:40:02 |     INFO | utils.logging_utils | setup_wandb:147 | ✅ W&B initialized: structformer-flax/run-babylm-poincare
2025-08-11 02:40:03 |    DEBUG | jax._src.xla_bridge | _clear_backends:808 | Clearing JAX backend caches.
2025-08-11 02:41:41 |     INFO | structformer_training | setup_logging:107 | ✅ Logging setup complete. Logs: logs/structformer_run/training.log
2025-08-11 02:41:41 |    DEBUG | git.util | is_cygwin_git:494 | sys.platform='linux', git_executable='git'
2025-08-11 02:41:41 |    DEBUG | git.cmd | execute:1270 | Popen(['git', 'rev-parse', '--show-toplevel'], cwd=/home/ubuntu/babylm-poincare-structformer, stdin=None, shell=False, universal_newlines=False)
2025-08-11 02:41:41 |    DEBUG | urllib3.connectionpool | _new_conn:1049 | Starting new HTTPS connection (1): api.wandb.ai:443
2025-08-11 02:41:41 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2025-08-11 02:41:41 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2025-08-11 02:41:41 |    DEBUG | git.util | is_cygwin_git:494 | sys.platform='linux', git_executable='git'
2025-08-11 02:41:41 |    DEBUG | git.cmd | execute:1270 | Popen(['git', 'cat-file', '--batch-check'], cwd=/home/ubuntu/babylm-poincare-structformer, stdin=<valid stream>, shell=False, universal_newlines=False)
2025-08-11 02:41:42 |     INFO | utils.logging_utils | setup_wandb:147 | ✅ W&B initialized: structformer-flax/run-babylm-poincare
2025-08-11 02:41:42 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X HEAD -H 'Accept: */*' -H 'Accept-Encoding: identity' -H 'Connection: keep-alive' -H 'authorization: <TOKEN>' -H 'user-agent: unknown/None; hf_hub/0.34.4; python/3.10.12; torch/2.8.0' https://huggingface.co/datasets/bendemonium/babylm25-bpe-tokens/resolve/main/train_tokenized.pkl
2025-08-11 02:41:42 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request b9a6a89d-c3a0-48cf-9c24-b27a4237c797: HEAD https://huggingface.co/datasets/bendemonium/babylm25-bpe-tokens/resolve/main/train_tokenized.pkl (authenticated: True)
2025-08-11 02:41:42 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "HEAD /datasets/bendemonium/babylm25-bpe-tokens/resolve/main/train_tokenized.pkl HTTP/1.1" 404 0
2025-08-11 02:41:42 |    DEBUG | jax._src.xla_bridge | _clear_backends:808 | Clearing JAX backend caches.
2025-08-11 02:45:14 |     INFO | structformer_training | setup_logging:107 | ✅ Logging setup complete. Logs: logs/structformer_run/training.log
2025-08-11 02:45:14 |    DEBUG | git.util | is_cygwin_git:494 | sys.platform='linux', git_executable='git'
2025-08-11 02:45:14 |    DEBUG | git.cmd | execute:1270 | Popen(['git', 'rev-parse', '--show-toplevel'], cwd=/home/ubuntu/babylm-poincare-structformer, stdin=None, shell=False, universal_newlines=False)
2025-08-11 02:45:14 |    DEBUG | urllib3.connectionpool | _new_conn:1049 | Starting new HTTPS connection (1): api.wandb.ai:443
2025-08-11 02:45:14 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2025-08-11 02:45:14 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2025-08-11 02:45:14 |    DEBUG | git.util | is_cygwin_git:494 | sys.platform='linux', git_executable='git'
2025-08-11 02:45:14 |    DEBUG | git.cmd | execute:1270 | Popen(['git', 'cat-file', '--batch-check'], cwd=/home/ubuntu/babylm-poincare-structformer, stdin=<valid stream>, shell=False, universal_newlines=False)
2025-08-11 02:45:14 |     INFO | utils.logging_utils | setup_wandb:147 | ✅ W&B initialized: structformer-flax/run-babylm-poincare
2025-08-11 02:45:14 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X HEAD -H 'Accept: */*' -H 'Accept-Encoding: identity' -H 'Connection: keep-alive' -H 'authorization: <TOKEN>' -H 'user-agent: unknown/None; hf_hub/0.34.4; python/3.10.12; torch/2.8.0' https://huggingface.co/datasets/bendemonium/babylm25_bpe_tokens/resolve/main/train_tokenized.pkl
2025-08-11 02:45:14 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request cd5d5568-a8bd-4b9a-b832-f3dde7e1ac4a: HEAD https://huggingface.co/datasets/bendemonium/babylm25_bpe_tokens/resolve/main/train_tokenized.pkl (authenticated: True)
2025-08-11 02:45:15 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "HEAD /datasets/bendemonium/babylm25_bpe_tokens/resolve/main/train_tokenized.pkl HTTP/1.1" 302 0
2025-08-11 02:45:15 |    DEBUG | filelock | acquire:331 | Attempting to acquire lock 250902662315696 on /home/ubuntu/.cache/huggingface/hub/.locks/datasets--bendemonium--babylm25_bpe_tokens/828e6cc53a52ad0e28155ed626a4d00bdf6be1f7560589cb767809b0c24c0718.lock
2025-08-11 02:45:15 |    DEBUG | filelock | acquire:334 | Lock 250902662315696 acquired on /home/ubuntu/.cache/huggingface/hub/.locks/datasets--bendemonium--babylm25_bpe_tokens/828e6cc53a52ad0e28155ed626a4d00bdf6be1f7560589cb767809b0c24c0718.lock
2025-08-11 02:45:15 |     INFO | huggingface_hub.file_download | _download_to_tmp_and_move:1714 | Downloading 'train_tokenized.pkl' to '/home/ubuntu/.cache/huggingface/hub/datasets--bendemonium--babylm25_bpe_tokens/blobs/828e6cc53a52ad0e28155ed626a4d00bdf6be1f7560589cb767809b0c24c0718.incomplete'
2025-08-11 02:45:15 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X GET -H 'Accept: */*' -H 'Accept-Encoding: gzip, deflate' -H 'Connection: keep-alive' -H 'user-agent: unknown/None; hf_hub/0.34.4; python/3.10.12; torch/2.8.0' 'https://cdn-lfs-us-1.hf.co/repos/5a/9c/5a9c811442f966f0d19467467232218ebad26a6137b8e4c6368fca0bfb5e2da4/828e6cc53a52ad0e28155ed626a4d00bdf6be1f7560589cb767809b0c24c0718?response-content-disposition=inline%3B+filename*%3DUTF-8%27%27train_tokenized.pkl%3B+filename%3D%22train_tokenized.pkl%22%3B&Expires=1754883915&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc1NDg4MzkxNX19LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2RuLWxmcy11cy0xLmhmLmNvL3JlcG9zLzVhLzljLzVhOWM4MTE0NDJmOTY2ZjBkMTk0Njc0NjcyMzIyMThlYmFkMjZhNjEzN2I4ZTRjNjM2OGZjYTBiZmI1ZTJkYTQvODI4ZTZjYzUzYTUyYWQwZTI4MTU1ZWQ2MjZhNGQwMGJkZjZiZTFmNzU2MDU4OWNiNzY3ODA5YjBjMjRjMDcxOD9yZXNwb25zZS1jb250ZW50LWRpc3Bvc2l0aW9uPSoifV19&Signature=WtxzvT-mfoQvUeW~PX3TWIwnvWL~7VlWYSywZFO4-iD-4oJZ~4d6-ZjzS4upxq5OQjXDuY8wn9oV~~NYfm5JqhK0X7d6IXCl5Be4z~w6hxUGIsTx1MRkNgtxXwVEP6ebrjKpRDV2Bw0rI945DGgoo3jgf5eq3gVW64NKc1pYPTk85gtHATgiwCGdoN5bct8PeRkIz8NrtbU3TtBiN09i2fXaJ~tHJaIenB1uJTMzEZ218PGXQQ8dC650SfJlDkM1cVYScrD0Peg9Mxow~zC6f9CO3smhUvsTp8YXSFPYngZawy9Jd6m835Xkfx468O2mZrqQ0HbH1pbMN1XfI5i4uA__&Key-Pair-Id=K24J24Z295AEI9'
2025-08-11 02:45:15 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request e1fcb8dd-29d9-4384-bcdd-31dace6e1a8c: GET https://cdn-lfs-us-1.hf.co/repos/5a/9c/5a9c811442f966f0d19467467232218ebad26a6137b8e4c6368fca0bfb5e2da4/828e6cc53a52ad0e28155ed626a4d00bdf6be1f7560589cb767809b0c24c0718?response-content-disposition=inline%3B+filename*%3DUTF-8%27%27train_tokenized.pkl%3B+filename%3D%22train_tokenized.pkl%22%3B&Expires=1754883915&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc1NDg4MzkxNX19LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2RuLWxmcy11cy0xLmhmLmNvL3JlcG9zLzVhLzljLzVhOWM4MTE0NDJmOTY2ZjBkMTk0Njc0NjcyMzIyMThlYmFkMjZhNjEzN2I4ZTRjNjM2OGZjYTBiZmI1ZTJkYTQvODI4ZTZjYzUzYTUyYWQwZTI4MTU1ZWQ2MjZhNGQwMGJkZjZiZTFmNzU2MDU4OWNiNzY3ODA5YjBjMjRjMDcxOD9yZXNwb25zZS1jb250ZW50LWRpc3Bvc2l0aW9uPSoifV19&Signature=WtxzvT-mfoQvUeW~PX3TWIwnvWL~7VlWYSywZFO4-iD-4oJZ~4d6-ZjzS4upxq5OQjXDuY8wn9oV~~NYfm5JqhK0X7d6IXCl5Be4z~w6hxUGIsTx1MRkNgtxXwVEP6ebrjKpRDV2Bw0rI945DGgoo3jgf5eq3gVW64NKc1pYPTk85gtHATgiwCGdoN5bct8PeRkIz8NrtbU3TtBiN09i2fXaJ~tHJaIenB1uJTMzEZ218PGXQQ8dC650SfJlDkM1cVYScrD0Peg9Mxow~zC6f9CO3smhUvsTp8YXSFPYngZawy9Jd6m835Xkfx468O2mZrqQ0HbH1pbMN1XfI5i4uA__&Key-Pair-Id=K24J24Z295AEI9 (authenticated: False)
2025-08-11 02:45:15 |    DEBUG | urllib3.connectionpool | _new_conn:1049 | Starting new HTTPS connection (1): cdn-lfs-us-1.hf.co:443
2025-08-11 02:45:15 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://cdn-lfs-us-1.hf.co:443 "GET /repos/5a/9c/5a9c811442f966f0d19467467232218ebad26a6137b8e4c6368fca0bfb5e2da4/828e6cc53a52ad0e28155ed626a4d00bdf6be1f7560589cb767809b0c24c0718?response-content-disposition=inline%3B+filename*%3DUTF-8%27%27train_tokenized.pkl%3B+filename%3D%22train_tokenized.pkl%22%3B&Expires=1754883915&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc1NDg4MzkxNX19LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2RuLWxmcy11cy0xLmhmLmNvL3JlcG9zLzVhLzljLzVhOWM4MTE0NDJmOTY2ZjBkMTk0Njc0NjcyMzIyMThlYmFkMjZhNjEzN2I4ZTRjNjM2OGZjYTBiZmI1ZTJkYTQvODI4ZTZjYzUzYTUyYWQwZTI4MTU1ZWQ2MjZhNGQwMGJkZjZiZTFmNzU2MDU4OWNiNzY3ODA5YjBjMjRjMDcxOD9yZXNwb25zZS1jb250ZW50LWRpc3Bvc2l0aW9uPSoifV19&Signature=WtxzvT-mfoQvUeW~PX3TWIwnvWL~7VlWYSywZFO4-iD-4oJZ~4d6-ZjzS4upxq5OQjXDuY8wn9oV~~NYfm5JqhK0X7d6IXCl5Be4z~w6hxUGIsTx1MRkNgtxXwVEP6ebrjKpRDV2Bw0rI945DGgoo3jgf5eq3gVW64NKc1pYPTk85gtHATgiwCGdoN5bct8PeRkIz8NrtbU3TtBiN09i2fXaJ~tHJaIenB1uJTMzEZ218PGXQQ8dC650SfJlDkM1cVYScrD0Peg9Mxow~zC6f9CO3smhUvsTp8YXSFPYngZawy9Jd6m835Xkfx468O2mZrqQ0HbH1pbMN1XfI5i4uA__&Key-Pair-Id=K24J24Z295AEI9 HTTP/1.1" 200 2386563316
2025-08-11 02:45:23 |     INFO | huggingface_hub.file_download | _download_to_tmp_and_move:1747 | Download complete. Moving file to /home/ubuntu/.cache/huggingface/hub/datasets--bendemonium--babylm25_bpe_tokens/blobs/828e6cc53a52ad0e28155ed626a4d00bdf6be1f7560589cb767809b0c24c0718
2025-08-11 02:45:23 |    DEBUG | huggingface_hub.file_download | _create_symlink:732 | Creating pointer from ../../blobs/828e6cc53a52ad0e28155ed626a4d00bdf6be1f7560589cb767809b0c24c0718 to /home/ubuntu/.cache/huggingface/hub/datasets--bendemonium--babylm25_bpe_tokens/snapshots/e6c2e9185c75c14f37b167b35b73264fc663158d/train_tokenized.pkl
2025-08-11 02:45:23 |    DEBUG | filelock | release:364 | Attempting to release lock 250902662315696 on /home/ubuntu/.cache/huggingface/hub/.locks/datasets--bendemonium--babylm25_bpe_tokens/828e6cc53a52ad0e28155ed626a4d00bdf6be1f7560589cb767809b0c24c0718.lock
2025-08-11 02:45:23 |    DEBUG | filelock | release:367 | Lock 250902662315696 released on /home/ubuntu/.cache/huggingface/hub/.locks/datasets--bendemonium--babylm25_bpe_tokens/828e6cc53a52ad0e28155ed626a4d00bdf6be1f7560589cb767809b0c24c0718.lock
2025-08-11 02:45:23 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X HEAD -H 'Accept: */*' -H 'Accept-Encoding: identity' -H 'Connection: keep-alive' -H 'authorization: <TOKEN>' -H 'user-agent: unknown/None; hf_hub/0.34.4; python/3.10.12; torch/2.8.0' https://huggingface.co/datasets/bendemonium/babylm25_bpe_tokens/resolve/main/dev_tokenized.pkl
2025-08-11 02:45:23 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request 4c206763-ab71-42c8-b4dd-b08c4dd9e635: HEAD https://huggingface.co/datasets/bendemonium/babylm25_bpe_tokens/resolve/main/dev_tokenized.pkl (authenticated: True)
2025-08-11 02:45:23 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "HEAD /datasets/bendemonium/babylm25_bpe_tokens/resolve/main/dev_tokenized.pkl HTTP/1.1" 302 0
2025-08-11 02:45:23 |    DEBUG | filelock | acquire:331 | Attempting to acquire lock 250902662315696 on /home/ubuntu/.cache/huggingface/hub/.locks/datasets--bendemonium--babylm25_bpe_tokens/4508ef1ce06d17906dfdec43f9a27c6fe1c4a7841a77c9753d46edd104a4bed0.lock
2025-08-11 02:45:23 |    DEBUG | filelock | acquire:334 | Lock 250902662315696 acquired on /home/ubuntu/.cache/huggingface/hub/.locks/datasets--bendemonium--babylm25_bpe_tokens/4508ef1ce06d17906dfdec43f9a27c6fe1c4a7841a77c9753d46edd104a4bed0.lock
2025-08-11 02:45:23 |     INFO | huggingface_hub.file_download | _download_to_tmp_and_move:1714 | Downloading 'dev_tokenized.pkl' to '/home/ubuntu/.cache/huggingface/hub/datasets--bendemonium--babylm25_bpe_tokens/blobs/4508ef1ce06d17906dfdec43f9a27c6fe1c4a7841a77c9753d46edd104a4bed0.incomplete'
2025-08-11 02:45:23 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X GET -H 'Accept: */*' -H 'Accept-Encoding: gzip, deflate' -H 'Connection: keep-alive' -H 'user-agent: unknown/None; hf_hub/0.34.4; python/3.10.12; torch/2.8.0' 'https://cdn-lfs-us-1.hf.co/repos/5a/9c/5a9c811442f966f0d19467467232218ebad26a6137b8e4c6368fca0bfb5e2da4/4508ef1ce06d17906dfdec43f9a27c6fe1c4a7841a77c9753d46edd104a4bed0?response-content-disposition=inline%3B+filename*%3DUTF-8%27%27dev_tokenized.pkl%3B+filename%3D%22dev_tokenized.pkl%22%3B&Expires=1754883923&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc1NDg4MzkyM319LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2RuLWxmcy11cy0xLmhmLmNvL3JlcG9zLzVhLzljLzVhOWM4MTE0NDJmOTY2ZjBkMTk0Njc0NjcyMzIyMThlYmFkMjZhNjEzN2I4ZTRjNjM2OGZjYTBiZmI1ZTJkYTQvNDUwOGVmMWNlMDZkMTc5MDZkZmRlYzQzZjlhMjdjNmZlMWM0YTc4NDFhNzdjOTc1M2Q0NmVkZDEwNGE0YmVkMD9yZXNwb25zZS1jb250ZW50LWRpc3Bvc2l0aW9uPSoifV19&Signature=BXz3PWZRf3E21L0cSzK-mpa3zhKTC84-L9HL5aSU7Ayj6tVRpeQUMH0kOBzIxLrNHfge1ep3J9ZyRsOlCly1qhfpAbXMtSNrh49VXTUnfbFMcX6ueHg0~RAXrwwiCky27Cye57DDauGKVmfCfvfwcBlDrY8y44aN43eppJza517MtvZdgUawxEJO-GQwxi9sUAp5HpIdwE2abt0Pm4hb-wpOhVdBWVFAl24-URHWMgeTIkGsWdTaiu80auzG1HFjrnS3mSbJBEspxv4hlSucv6gTDf-TFSawWjR6WzZ8Xr5rVk2edbnopcp--eInpVhiVBgnMiPFvL2ANq2Ubc21Vg__&Key-Pair-Id=K24J24Z295AEI9'
2025-08-11 02:45:23 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request 248872b2-ae64-4252-9d51-cb1d99d67895: GET https://cdn-lfs-us-1.hf.co/repos/5a/9c/5a9c811442f966f0d19467467232218ebad26a6137b8e4c6368fca0bfb5e2da4/4508ef1ce06d17906dfdec43f9a27c6fe1c4a7841a77c9753d46edd104a4bed0?response-content-disposition=inline%3B+filename*%3DUTF-8%27%27dev_tokenized.pkl%3B+filename%3D%22dev_tokenized.pkl%22%3B&Expires=1754883923&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc1NDg4MzkyM319LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2RuLWxmcy11cy0xLmhmLmNvL3JlcG9zLzVhLzljLzVhOWM4MTE0NDJmOTY2ZjBkMTk0Njc0NjcyMzIyMThlYmFkMjZhNjEzN2I4ZTRjNjM2OGZjYTBiZmI1ZTJkYTQvNDUwOGVmMWNlMDZkMTc5MDZkZmRlYzQzZjlhMjdjNmZlMWM0YTc4NDFhNzdjOTc1M2Q0NmVkZDEwNGE0YmVkMD9yZXNwb25zZS1jb250ZW50LWRpc3Bvc2l0aW9uPSoifV19&Signature=BXz3PWZRf3E21L0cSzK-mpa3zhKTC84-L9HL5aSU7Ayj6tVRpeQUMH0kOBzIxLrNHfge1ep3J9ZyRsOlCly1qhfpAbXMtSNrh49VXTUnfbFMcX6ueHg0~RAXrwwiCky27Cye57DDauGKVmfCfvfwcBlDrY8y44aN43eppJza517MtvZdgUawxEJO-GQwxi9sUAp5HpIdwE2abt0Pm4hb-wpOhVdBWVFAl24-URHWMgeTIkGsWdTaiu80auzG1HFjrnS3mSbJBEspxv4hlSucv6gTDf-TFSawWjR6WzZ8Xr5rVk2edbnopcp--eInpVhiVBgnMiPFvL2ANq2Ubc21Vg__&Key-Pair-Id=K24J24Z295AEI9 (authenticated: False)
2025-08-11 02:45:23 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://cdn-lfs-us-1.hf.co:443 "GET /repos/5a/9c/5a9c811442f966f0d19467467232218ebad26a6137b8e4c6368fca0bfb5e2da4/4508ef1ce06d17906dfdec43f9a27c6fe1c4a7841a77c9753d46edd104a4bed0?response-content-disposition=inline%3B+filename*%3DUTF-8%27%27dev_tokenized.pkl%3B+filename%3D%22dev_tokenized.pkl%22%3B&Expires=1754883923&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc1NDg4MzkyM319LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2RuLWxmcy11cy0xLmhmLmNvL3JlcG9zLzVhLzljLzVhOWM4MTE0NDJmOTY2ZjBkMTk0Njc0NjcyMzIyMThlYmFkMjZhNjEzN2I4ZTRjNjM2OGZjYTBiZmI1ZTJkYTQvNDUwOGVmMWNlMDZkMTc5MDZkZmRlYzQzZjlhMjdjNmZlMWM0YTc4NDFhNzdjOTc1M2Q0NmVkZDEwNGE0YmVkMD9yZXNwb25zZS1jb250ZW50LWRpc3Bvc2l0aW9uPSoifV19&Signature=BXz3PWZRf3E21L0cSzK-mpa3zhKTC84-L9HL5aSU7Ayj6tVRpeQUMH0kOBzIxLrNHfge1ep3J9ZyRsOlCly1qhfpAbXMtSNrh49VXTUnfbFMcX6ueHg0~RAXrwwiCky27Cye57DDauGKVmfCfvfwcBlDrY8y44aN43eppJza517MtvZdgUawxEJO-GQwxi9sUAp5HpIdwE2abt0Pm4hb-wpOhVdBWVFAl24-URHWMgeTIkGsWdTaiu80auzG1HFjrnS3mSbJBEspxv4hlSucv6gTDf-TFSawWjR6WzZ8Xr5rVk2edbnopcp--eInpVhiVBgnMiPFvL2ANq2Ubc21Vg__&Key-Pair-Id=K24J24Z295AEI9 HTTP/1.1" 200 2367623412
2025-08-11 02:45:33 |     INFO | huggingface_hub.file_download | _download_to_tmp_and_move:1747 | Download complete. Moving file to /home/ubuntu/.cache/huggingface/hub/datasets--bendemonium--babylm25_bpe_tokens/blobs/4508ef1ce06d17906dfdec43f9a27c6fe1c4a7841a77c9753d46edd104a4bed0
2025-08-11 02:45:33 |    DEBUG | huggingface_hub.file_download | _create_symlink:732 | Creating pointer from ../../blobs/4508ef1ce06d17906dfdec43f9a27c6fe1c4a7841a77c9753d46edd104a4bed0 to /home/ubuntu/.cache/huggingface/hub/datasets--bendemonium--babylm25_bpe_tokens/snapshots/e6c2e9185c75c14f37b167b35b73264fc663158d/dev_tokenized.pkl
