2025-08-11 16:29:48 |     INFO | structformer_training | setup_logging:107 | ✅ Logging setup complete. Logs: logs/dry_structformer_only/training.log
2025-08-11 16:29:48 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X GET -H 'Accept: */*' -H 'Accept-Encoding: gzip, deflate' -H 'Connection: keep-alive' -H 'authorization: <TOKEN>' -H 'user-agent: datasets/4.0.0; hf_hub/0.34.4; python/3.10.12; torch/2.8.0; huggingface_hub/0.34.4; pyarrow/21.0.0; jax/0.6.2' https://huggingface.co/datasets/bendemonium/babylm25_bpe_tokens/resolve/main/README.md
2025-08-11 16:29:48 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request 60354467-2dcc-4c35-8dca-584df21acd81: GET https://huggingface.co/datasets/bendemonium/babylm25_bpe_tokens/resolve/main/README.md (authenticated: True)
2025-08-11 16:29:48 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "GET /datasets/bendemonium/babylm25_bpe_tokens/resolve/main/README.md HTTP/1.1" 200 531
2025-08-11 16:29:48 |     INFO | huggingface_hub.file_download | _download_to_tmp_and_move:1747 | Download complete. Moving file to /home/ubuntu/.cache/huggingface/hub/datasets--bendemonium--babylm25_bpe_tokens/blobs/ec175be14bdd0047628f6d061da1ef3ea5b48e24
2025-08-11 16:29:48 |    DEBUG | huggingface_hub.file_download | _create_symlink:732 | Creating pointer from ../../blobs/ec175be14bdd0047628f6d061da1ef3ea5b48e24 to /home/ubuntu/.cache/huggingface/hub/datasets--bendemonium--babylm25_bpe_tokens/snapshots/e6c2e9185c75c14f37b167b35b73264fc663158d/README.md
2025-08-11 16:29:48 |    DEBUG | filelock | release:364 | Attempting to release lock 124798038177104 on /home/ubuntu/.cache/huggingface/hub/.locks/datasets--bendemonium--babylm25_bpe_tokens/ec175be14bdd0047628f6d061da1ef3ea5b48e24.lock
2025-08-11 16:29:48 |    DEBUG | filelock | release:367 | Lock 124798038177104 released on /home/ubuntu/.cache/huggingface/hub/.locks/datasets--bendemonium--babylm25_bpe_tokens/ec175be14bdd0047628f6d061da1ef3ea5b48e24.lock
2025-08-11 16:29:48 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X HEAD -H 'Accept: */*' -H 'Accept-Encoding: identity' -H 'Connection: keep-alive' -H 'authorization: <TOKEN>' -H 'user-agent: datasets/4.0.0; hf_hub/0.34.4; python/3.10.12; torch/2.8.0; huggingface_hub/0.34.4; pyarrow/21.0.0; jax/0.6.2' https://huggingface.co/datasets/bendemonium/babylm25_bpe_tokens/resolve/e6c2e9185c75c14f37b167b35b73264fc663158d/babylm25_bpe_tokens.py
2025-08-11 16:29:48 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request 30924956-0bbf-4fee-bf4c-d67b0ec7ae61: HEAD https://huggingface.co/datasets/bendemonium/babylm25_bpe_tokens/resolve/e6c2e9185c75c14f37b167b35b73264fc663158d/babylm25_bpe_tokens.py (authenticated: True)
2025-08-11 16:29:49 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "HEAD /datasets/bendemonium/babylm25_bpe_tokens/resolve/e6c2e9185c75c14f37b167b35b73264fc663158d/babylm25_bpe_tokens.py HTTP/1.1" 404 0
2025-08-11 16:29:49 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X HEAD -H 'Accept: */*' -H 'Accept-Encoding: gzip, deflate' -H 'Connection: keep-alive' -H 'User-Agent: datasets/4.0.0; python/3.10.12; huggingface_hub/0.34.4; pyarrow/21.0.0; torch/2.8.0; jax/0.6.2' https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/bendemonium/babylm25_bpe_tokens/bendemonium/babylm25_bpe_tokens.py
2025-08-11 16:29:49 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request c8467b27-83e8-4000-84e7-33c8a2c67a51: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/bendemonium/babylm25_bpe_tokens/bendemonium/babylm25_bpe_tokens.py (authenticated: False)
2025-08-11 16:29:49 |    DEBUG | urllib3.connectionpool | _new_conn:1049 | Starting new HTTPS connection (1): s3.amazonaws.com:443
2025-08-11 16:29:49 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://s3.amazonaws.com:443 "HEAD /datasets.huggingface.co/datasets/datasets/bendemonium/babylm25_bpe_tokens/bendemonium/babylm25_bpe_tokens.py HTTP/1.1" 404 0
2025-08-11 16:29:49 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X GET -H 'Accept: */*' -H 'Accept-Encoding: gzip, deflate' -H 'Connection: keep-alive' -H 'authorization: <TOKEN>' -H 'user-agent: unknown/None; hf_hub/0.34.4; python/3.10.12; torch/2.8.0' https://huggingface.co/api/datasets/bendemonium/babylm25_bpe_tokens/revision/e6c2e9185c75c14f37b167b35b73264fc663158d
2025-08-11 16:29:49 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request 5b5a56b1-632d-424e-96b9-708f9131c277: GET https://huggingface.co/api/datasets/bendemonium/babylm25_bpe_tokens/revision/e6c2e9185c75c14f37b167b35b73264fc663158d (authenticated: True)
2025-08-11 16:29:50 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "GET /api/datasets/bendemonium/babylm25_bpe_tokens/revision/e6c2e9185c75c14f37b167b35b73264fc663158d HTTP/1.1" 200 1343
2025-08-11 16:29:50 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X HEAD -H 'Accept: */*' -H 'Accept-Encoding: identity' -H 'Connection: keep-alive' -H 'authorization: <TOKEN>' -H 'user-agent: datasets/4.0.0; hf_hub/0.34.4; python/3.10.12; torch/2.8.0; huggingface_hub/0.34.4; pyarrow/21.0.0; jax/0.6.2' https://huggingface.co/datasets/bendemonium/babylm25_bpe_tokens/resolve/e6c2e9185c75c14f37b167b35b73264fc663158d/.huggingface.yaml
2025-08-11 16:29:50 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request 940d0991-bbf9-4f85-a24c-9cd346a43cab: HEAD https://huggingface.co/datasets/bendemonium/babylm25_bpe_tokens/resolve/e6c2e9185c75c14f37b167b35b73264fc663158d/.huggingface.yaml (authenticated: True)
2025-08-11 16:29:50 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "HEAD /datasets/bendemonium/babylm25_bpe_tokens/resolve/e6c2e9185c75c14f37b167b35b73264fc663158d/.huggingface.yaml HTTP/1.1" 404 0
2025-08-11 16:29:50 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X GET -H 'Accept: */*' -H 'Accept-Encoding: gzip, deflate' -H 'Connection: keep-alive' -H 'authorization: <TOKEN>' -H 'user-agent: datasets/4.0.0; hf_hub/0.34.4; python/3.10.12; torch/2.8.0' 'https://datasets-server.huggingface.co/info?dataset=bendemonium/babylm25_bpe_tokens'
2025-08-11 16:29:50 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request 63e2f515-7faa-4e27-8187-911992bd2427: GET https://datasets-server.huggingface.co/info?dataset=bendemonium/babylm25_bpe_tokens (authenticated: True)
2025-08-11 16:29:50 |    DEBUG | urllib3.connectionpool | _new_conn:1049 | Starting new HTTPS connection (1): datasets-server.huggingface.co:443
2025-08-11 16:29:51 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://datasets-server.huggingface.co:443 "GET /info?dataset=bendemonium/babylm25_bpe_tokens HTTP/1.1" 501 None
2025-08-11 16:29:51 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X GET -H 'Accept: */*' -H 'Accept-Encoding: gzip, deflate' -H 'Connection: keep-alive' -H 'authorization: <TOKEN>' -H 'user-agent: unknown/None; hf_hub/0.34.4; python/3.10.12; torch/2.8.0' https://huggingface.co/api/datasets/bendemonium/babylm25_bpe_tokens/revision/e6c2e9185c75c14f37b167b35b73264fc663158d
2025-08-11 16:29:51 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request 96cdd031-6fc8-4fd7-84be-779606204881: GET https://huggingface.co/api/datasets/bendemonium/babylm25_bpe_tokens/revision/e6c2e9185c75c14f37b167b35b73264fc663158d (authenticated: True)
2025-08-11 16:29:51 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "GET /api/datasets/bendemonium/babylm25_bpe_tokens/revision/e6c2e9185c75c14f37b167b35b73264fc663158d HTTP/1.1" 200 1378
2025-08-11 16:29:51 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X GET -H 'Accept: */*' -H 'Accept-Encoding: gzip, deflate' -H 'Connection: keep-alive' -H 'authorization: <TOKEN>' -H 'user-agent: unknown/None; hf_hub/0.34.4; python/3.10.12; torch/2.8.0' 'https://huggingface.co/api/datasets/bendemonium/babylm25_bpe_tokens/tree/e6c2e9185c75c14f37b167b35b73264fc663158d?recursive=False&expand=False'
2025-08-11 16:29:51 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request 3dac3db1-b589-4bfe-9f53-309740b2a7ab: GET https://huggingface.co/api/datasets/bendemonium/babylm25_bpe_tokens/tree/e6c2e9185c75c14f37b167b35b73264fc663158d?recursive=False&expand=False (authenticated: True)
2025-08-11 16:29:52 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "GET /api/datasets/bendemonium/babylm25_bpe_tokens/tree/e6c2e9185c75c14f37b167b35b73264fc663158d?recursive=False&expand=False HTTP/1.1" 200 974
2025-08-11 16:29:52 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X GET -H 'Accept: */*' -H 'Accept-Encoding: gzip, deflate' -H 'Connection: keep-alive' -H 'authorization: <TOKEN>' -H 'user-agent: unknown/None; hf_hub/0.34.4; python/3.10.12; torch/2.8.0' 'https://huggingface.co/api/datasets/bendemonium/babylm25_bpe_tokens/tree/e6c2e9185c75c14f37b167b35b73264fc663158d/data?recursive=False&expand=False'
2025-08-11 16:29:52 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request 2a0a88c4-fab0-4626-9a74-774ca2476e5c: GET https://huggingface.co/api/datasets/bendemonium/babylm25_bpe_tokens/tree/e6c2e9185c75c14f37b167b35b73264fc663158d/data?recursive=False&expand=False (authenticated: True)
2025-08-11 16:29:52 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "GET /api/datasets/bendemonium/babylm25_bpe_tokens/tree/e6c2e9185c75c14f37b167b35b73264fc663158d/data?recursive=False&expand=False HTTP/1.1" 200 1429
2025-08-11 16:29:52 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X GET -H 'Accept: */*' -H 'Accept-Encoding: gzip, deflate' -H 'Connection: keep-alive' -H 'authorization: <TOKEN>' -H 'user-agent: unknown/None; hf_hub/0.34.4; python/3.10.12; torch/2.8.0' https://huggingface.co/api/datasets/bendemonium/babylm25_bpe_tokens/revision/e6c2e9185c75c14f37b167b35b73264fc663158d
2025-08-11 16:29:52 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X GET -H 'Accept: */*' -H 'Accept-Encoding: gzip, deflate' -H 'Connection: keep-alive' -H 'authorization: <TOKEN>' -H 'user-agent: unknown/None; hf_hub/0.34.4; python/3.10.12; torch/2.8.0' https://huggingface.co/api/datasets/bendemonium/babylm25_bpe_tokens/revision/e6c2e9185c75c14f37b167b35b73264fc663158d
2025-08-11 16:29:52 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request d3c7a660-505b-4f1e-b19c-5c89ea1e00e9: GET https://huggingface.co/api/datasets/bendemonium/babylm25_bpe_tokens/revision/e6c2e9185c75c14f37b167b35b73264fc663158d (authenticated: True)
2025-08-11 16:29:52 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request 914e0867-479d-49ef-8a45-560e471338a0: GET https://huggingface.co/api/datasets/bendemonium/babylm25_bpe_tokens/revision/e6c2e9185c75c14f37b167b35b73264fc663158d (authenticated: True)
2025-08-11 16:29:52 |    DEBUG | urllib3.connectionpool | _new_conn:1049 | Starting new HTTPS connection (1): huggingface.co:443
2025-08-11 16:29:52 |    DEBUG | urllib3.connectionpool | _new_conn:1049 | Starting new HTTPS connection (1): huggingface.co:443
2025-08-11 16:29:52 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "GET /api/datasets/bendemonium/babylm25_bpe_tokens/revision/e6c2e9185c75c14f37b167b35b73264fc663158d HTTP/1.1" 200 1378
2025-08-11 16:29:52 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "GET /api/datasets/bendemonium/babylm25_bpe_tokens/revision/e6c2e9185c75c14f37b167b35b73264fc663158d HTTP/1.1" 200 1378
2025-08-11 16:29:52 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X HEAD -H 'Accept: */*' -H 'Accept-Encoding: identity' -H 'Connection: keep-alive' -H 'authorization: <TOKEN>' -H 'user-agent: datasets/4.0.0; hf_hub/0.34.4; python/3.10.12; torch/2.8.0; huggingface_hub/0.34.4; pyarrow/21.0.0; jax/0.6.2' https://huggingface.co/datasets/bendemonium/babylm25_bpe_tokens/resolve/e6c2e9185c75c14f37b167b35b73264fc663158d/dataset_infos.json
2025-08-11 16:29:52 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request c82fbd0b-f4f6-4b0c-88c5-9a3ec8ad38a8: HEAD https://huggingface.co/datasets/bendemonium/babylm25_bpe_tokens/resolve/e6c2e9185c75c14f37b167b35b73264fc663158d/dataset_infos.json (authenticated: True)
2025-08-11 16:29:52 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "HEAD /datasets/bendemonium/babylm25_bpe_tokens/resolve/e6c2e9185c75c14f37b167b35b73264fc663158d/dataset_infos.json HTTP/1.1" 404 0
2025-08-11 16:29:52 |    DEBUG | filelock | acquire:331 | Attempting to acquire lock 124798038170432 on /home/ubuntu/.cache/huggingface/datasets/_home_ubuntu_.cache_huggingface_datasets_bendemonium___babylm25_bpe_tokens_default_0.0.0_e6c2e9185c75c14f37b167b35b73264fc663158d.lock
2025-08-11 16:29:52 |    DEBUG | filelock | acquire:334 | Lock 124798038170432 acquired on /home/ubuntu/.cache/huggingface/datasets/_home_ubuntu_.cache_huggingface_datasets_bendemonium___babylm25_bpe_tokens_default_0.0.0_e6c2e9185c75c14f37b167b35b73264fc663158d.lock
2025-08-11 16:29:52 |    DEBUG | filelock | release:364 | Attempting to release lock 124798038170432 on /home/ubuntu/.cache/huggingface/datasets/_home_ubuntu_.cache_huggingface_datasets_bendemonium___babylm25_bpe_tokens_default_0.0.0_e6c2e9185c75c14f37b167b35b73264fc663158d.lock
2025-08-11 16:29:52 |    DEBUG | filelock | release:367 | Lock 124798038170432 released on /home/ubuntu/.cache/huggingface/datasets/_home_ubuntu_.cache_huggingface_datasets_bendemonium___babylm25_bpe_tokens_default_0.0.0_e6c2e9185c75c14f37b167b35b73264fc663158d.lock
2025-08-11 16:29:52 |    DEBUG | filelock | acquire:331 | Attempting to acquire lock 124797262191760 on /home/ubuntu/.cache/huggingface/datasets/bendemonium___babylm25_bpe_tokens/default/0.0.0/e6c2e9185c75c14f37b167b35b73264fc663158d_builder.lock
2025-08-11 16:29:52 |    DEBUG | filelock | acquire:334 | Lock 124797262191760 acquired on /home/ubuntu/.cache/huggingface/datasets/bendemonium___babylm25_bpe_tokens/default/0.0.0/e6c2e9185c75c14f37b167b35b73264fc663158d_builder.lock
2025-08-11 16:29:52 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X HEAD -H 'Accept: */*' -H 'Accept-Encoding: identity' -H 'Connection: keep-alive' -H 'authorization: <TOKEN>' -H 'user-agent: datasets/4.0.0; hf_hub/0.34.4; python/3.10.12; torch/2.8.0; huggingface_hub/0.34.4; pyarrow/21.0.0; jax/0.6.2' https://huggingface.co/datasets/bendemonium/babylm25_bpe_tokens/resolve/e6c2e9185c75c14f37b167b35b73264fc663158d/data/train-00000-of-00002.parquet
2025-08-11 16:29:52 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request e9dcadc1-9af4-4770-9593-0ecc140611d2: HEAD https://huggingface.co/datasets/bendemonium/babylm25_bpe_tokens/resolve/e6c2e9185c75c14f37b167b35b73264fc663158d/data/train-00000-of-00002.parquet (authenticated: True)
2025-08-11 16:29:52 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "HEAD /datasets/bendemonium/babylm25_bpe_tokens/resolve/e6c2e9185c75c14f37b167b35b73264fc663158d/data/train-00000-of-00002.parquet HTTP/1.1" 302 0
2025-08-11 16:29:52 |    DEBUG | filelock | acquire:331 | Attempting to acquire lock 124797891145744 on /home/ubuntu/.cache/huggingface/hub/.locks/datasets--bendemonium--babylm25_bpe_tokens/a7500d04270619ba9fdf91880b4f0202b10ef4a178266db33e89225e5c5236f6.lock
2025-08-11 16:29:52 |    DEBUG | filelock | acquire:334 | Lock 124797891145744 acquired on /home/ubuntu/.cache/huggingface/hub/.locks/datasets--bendemonium--babylm25_bpe_tokens/a7500d04270619ba9fdf91880b4f0202b10ef4a178266db33e89225e5c5236f6.lock
2025-08-11 16:29:52 |     INFO | huggingface_hub.file_download | _download_to_tmp_and_move:1714 | Downloading 'data/train-00000-of-00002.parquet' to '/home/ubuntu/.cache/huggingface/hub/datasets--bendemonium--babylm25_bpe_tokens/blobs/a7500d04270619ba9fdf91880b4f0202b10ef4a178266db33e89225e5c5236f6.incomplete'
2025-08-11 16:29:52 |    DEBUG | huggingface_hub.utils._http | send:94 | Send: curl -X GET -H 'Accept: */*' -H 'Accept-Encoding: gzip, deflate' -H 'Connection: keep-alive' -H 'user-agent: datasets/4.0.0; hf_hub/0.34.4; python/3.10.12; torch/2.8.0; huggingface_hub/0.34.4; pyarrow/21.0.0; jax/0.6.2' 'https://cdn-lfs-us-1.hf.co/repos/5a/9c/5a9c811442f966f0d19467467232218ebad26a6137b8e4c6368fca0bfb5e2da4/a7500d04270619ba9fdf91880b4f0202b10ef4a178266db33e89225e5c5236f6?response-content-disposition=inline%3B+filename*%3DUTF-8%27%27train-00000-of-00002.parquet%3B+filename%3D%22train-00000-of-00002.parquet%22%3B&Expires=1754933392&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc1NDkzMzM5Mn19LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2RuLWxmcy11cy0xLmhmLmNvL3JlcG9zLzVhLzljLzVhOWM4MTE0NDJmOTY2ZjBkMTk0Njc0NjcyMzIyMThlYmFkMjZhNjEzN2I4ZTRjNjM2OGZjYTBiZmI1ZTJkYTQvYTc1MDBkMDQyNzA2MTliYTlmZGY5MTg4MGI0ZjAyMDJiMTBlZjRhMTc4MjY2ZGIzM2U4OTIyNWU1YzUyMzZmNj9yZXNwb25zZS1jb250ZW50LWRpc3Bvc2l0aW9uPSoifV19&Signature=JiM8f8dyvMftdd8ESQnA0MbNfnz8dBg3ZAOYeUx0KoZ2HqjzrLnkj-HIoMIYuc70keq70vCR98j11LstsUQuqSt8qOMNAVYqreJp-o7s9W9Tj6psZl4FKGiu4pksPueWx4n9iI9mNn4ILPHZVuH3vSvY85t0eyPJnE~925sZHa9NHQks97KKyo52dhPxu5DiANzlDhRQoRZYrkB8S-x61QLZ3Xf~ZxnFbd67rErXYfonGi5zxkcrang0915GgBOWvc6F4DT22nkjAVoDsEEyk6bo3GuizPVw9cs4G-4a4gzywP~j~TWAb55hYfVMuXDmfPFAITDRxHkFS7D8-R23BA__&Key-Pair-Id=K24J24Z295AEI9'
2025-08-11 16:29:52 |    DEBUG | huggingface_hub.utils._http | add_headers:87 | Request f3a023ce-9af7-4a45-b3c7-4ae27c333297: GET https://cdn-lfs-us-1.hf.co/repos/5a/9c/5a9c811442f966f0d19467467232218ebad26a6137b8e4c6368fca0bfb5e2da4/a7500d04270619ba9fdf91880b4f0202b10ef4a178266db33e89225e5c5236f6?response-content-disposition=inline%3B+filename*%3DUTF-8%27%27train-00000-of-00002.parquet%3B+filename%3D%22train-00000-of-00002.parquet%22%3B&Expires=1754933392&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc1NDkzMzM5Mn19LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2RuLWxmcy11cy0xLmhmLmNvL3JlcG9zLzVhLzljLzVhOWM4MTE0NDJmOTY2ZjBkMTk0Njc0NjcyMzIyMThlYmFkMjZhNjEzN2I4ZTRjNjM2OGZjYTBiZmI1ZTJkYTQvYTc1MDBkMDQyNzA2MTliYTlmZGY5MTg4MGI0ZjAyMDJiMTBlZjRhMTc4MjY2ZGIzM2U4OTIyNWU1YzUyMzZmNj9yZXNwb25zZS1jb250ZW50LWRpc3Bvc2l0aW9uPSoifV19&Signature=JiM8f8dyvMftdd8ESQnA0MbNfnz8dBg3ZAOYeUx0KoZ2HqjzrLnkj-HIoMIYuc70keq70vCR98j11LstsUQuqSt8qOMNAVYqreJp-o7s9W9Tj6psZl4FKGiu4pksPueWx4n9iI9mNn4ILPHZVuH3vSvY85t0eyPJnE~925sZHa9NHQks97KKyo52dhPxu5DiANzlDhRQoRZYrkB8S-x61QLZ3Xf~ZxnFbd67rErXYfonGi5zxkcrang0915GgBOWvc6F4DT22nkjAVoDsEEyk6bo3GuizPVw9cs4G-4a4gzywP~j~TWAb55hYfVMuXDmfPFAITDRxHkFS7D8-R23BA__&Key-Pair-Id=K24J24Z295AEI9 (authenticated: False)
2025-08-11 16:29:52 |    DEBUG | urllib3.connectionpool | _new_conn:1049 | Starting new HTTPS connection (1): cdn-lfs-us-1.hf.co:443
2025-08-11 16:29:52 |    DEBUG | urllib3.connectionpool | _make_request:544 | https://cdn-lfs-us-1.hf.co:443 "GET /repos/5a/9c/5a9c811442f966f0d19467467232218ebad26a6137b8e4c6368fca0bfb5e2da4/a7500d04270619ba9fdf91880b4f0202b10ef4a178266db33e89225e5c5236f6?response-content-disposition=inline%3B+filename*%3DUTF-8%27%27train-00000-of-00002.parquet%3B+filename%3D%22train-00000-of-00002.parquet%22%3B&Expires=1754933392&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc1NDkzMzM5Mn19LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2RuLWxmcy11cy0xLmhmLmNvL3JlcG9zLzVhLzljLzVhOWM4MTE0NDJmOTY2ZjBkMTk0Njc0NjcyMzIyMThlYmFkMjZhNjEzN2I4ZTRjNjM2OGZjYTBiZmI1ZTJkYTQvYTc1MDBkMDQyNzA2MTliYTlmZGY5MTg4MGI0ZjAyMDJiMTBlZjRhMTc4MjY2ZGIzM2U4OTIyNWU1YzUyMzZmNj9yZXNwb25zZS1jb250ZW50LWRpc3Bvc2l0aW9uPSoifV19&Signature=JiM8f8dyvMftdd8ESQnA0MbNfnz8dBg3ZAOYeUx0KoZ2HqjzrLnkj-HIoMIYuc70keq70vCR98j11LstsUQuqSt8qOMNAVYqreJp-o7s9W9Tj6psZl4FKGiu4pksPueWx4n9iI9mNn4ILPHZVuH3vSvY85t0eyPJnE~925sZHa9NHQks97KKyo52dhPxu5DiANzlDhRQoRZYrkB8S-x61QLZ3Xf~ZxnFbd67rErXYfonGi5zxkcrang0915GgBOWvc6F4DT22nkjAVoDsEEyk6bo3GuizPVw9cs4G-4a4gzywP~j~TWAb55hYfVMuXDmfPFAITDRxHkFS7D8-R23BA__&Key-Pair-Id=K24J24Z295AEI9 HTTP/1.1" 200 11114866
2025-08-11 16:29:52 |     INFO | huggingface_hub.file_download | _download_to_tmp_and_move:1747 | Download complete. Moving file to /home/ubuntu/.cache/huggingface/hub/datasets--bendemonium--babylm25_bpe_tokens/blobs/a7500d04270619ba9fdf91880b4f0202b10ef4a178266db33e89225e5c5236f6
2025-08-11 16:29:52 |    DEBUG | huggingface_hub.file_download | _create_symlink:732 | Creating pointer from ../../../blobs/a7500d04270619ba9fdf91880b4f0202b10ef4a178266db33e89225e5c5236f6 to /home/ubuntu/.cache/huggingface/hub/datasets--bendemonium--babylm25_bpe_tokens/snapshots/e6c2e9185c75c14f37b167b35b73264fc663158d/data/train-00000-of-00002.parquet
2025-08-11 16:29:52 |    DEBUG | filelock | release:364 | Attempting to release lock 124797891145744 on /home/ubuntu/.cache/huggingface/hub/.locks/datasets--bendemonium--babylm25_bpe_tokens/a7500d04270619ba9fdf91880b4f0202b10ef4a178266db33e89225e5c5236f6.lock
